DDX11L1	DDX11L1
WASH7P	WASH7P
MIR6859.3	MIR6859.3
MIR6859.2	MIR6859.2
MIR6859.4	MIR6859.4
MIR6859.1	MIR6859.1
MIR1302.11	MIR1302.11
MIR1302.9	MIR1302.9
MIR1302.2	MIR1302.2
MIR1302.10	MIR1302.10
FAM138A	FAM138A
FAM138F	FAM138F
OR4F5	OR4F5
LOC729737	LOC729737
LOC100133331	LOC100133331
LOC100132287	LOC100132287
LOC100132062	LOC100132062
OR4F3	OR4F3
OR4F29	OR4F29
OR4F16	OR4F16
LOC101928626	LOC101928626
MIR6723	MIR6723
LOC100288069	LOC100288069
FAM87B	FAM87B
LINC00115	LINC00115
LINC01128	LINC01128
FAM41C	FAM41C
LOC100130417	LOC100130417
SAMD11	SAMD11
NOC2L	NOC2L
KLHL17	KLHL17
PLEKHN1	PLEKHN1
PERM1	PERM1
HES4	HES4
ISG15	ISG15
AGRN	AGRN
RNF223	RNF223
C1orf159	C1orf159
LINC01342	LINC01342
MIR200B	MIR200B
MIR200A	MIR200A
MIR429	MIR429
TTLL10	TTLL10
TNFRSF18	TNFRSF18
TNFRSF4	TNFRSF4
SDF4	SDF4
B3GALT6	B3GALT6
FAM132A	FAM132A
UBE2J2	UBE2J2
SCNN1D	SCNN1D
ACAP3	ACAP3
MIR6726	MIR6726
PUSL1	PUSL1
CPSF3L	CPSF3L
MIR6727	MIR6727
CPTP	CPTP
TAS1R3	TAS1R3
DVL1	DVL1
MIR6808	MIR6808
MXRA8	MXRA8
AURKAIP1	AURKAIP1
CCNL2	CCNL2
LOC148413	LOC148413
MRPL20	MRPL20
ANKRD65	ANKRD65
TMEM88B	TMEM88B
LOC102724312	LOC102724312
VWA1	VWA1
ATAD3C	ATAD3C
ATAD3B	ATAD3B
ATAD3A	ATAD3A
TMEM240	TMEM240
SSU72	SSU72
C1orf233	C1orf233
MIB2	MIB2
MMP23B	MMP23B
MMP23A	MMP23A
CDK11B	CDK11B
SLC35E2B	SLC35E2B
CDK11A	CDK11A
SLC35E2	SLC35E2
NADK	NADK
GNB1	GNB1
CALML6	CALML6
TMEM52	TMEM52
CFAP74	CFAP74
GABRD	GABRD
PRKCZ	PRKCZ
FAAP20	FAAP20
SKI	SKI
MORN1	MORN1
LOC100129534	LOC100129534
RER1	RER1
PEX10	PEX10
PLCH2	PLCH2
PANK4	PANK4
HES5	HES5
LOC115110	LOC115110
TNFRSF14	TNFRSF14
LOC100996583	LOC100996583
FAM213B	FAM213B
MMEL1	MMEL1
TTC34	TTC34
ACTRT2	ACTRT2
LINC00982	LINC00982
PRDM16	PRDM16
MIR4251	MIR4251
ARHGEF16	ARHGEF16
MEGF6	MEGF6
MIR551A	MIR551A
TPRG1L	TPRG1L
WRAP73	WRAP73
TP73	TP73
TP73.AS1	TP73.AS1
CCDC27	CCDC27
SMIM1	SMIM1
LRRC47	LRRC47
CEP104	CEP104
DFFB	DFFB
C1orf174	C1orf174
LINC01134	LINC01134
LINC01346	LINC01346
LOC284661	LOC284661
AJAP1	AJAP1
MIR4417	MIR4417
MIR4689	MIR4689
NPHP4	NPHP4
KCNAB2	KCNAB2
CHD5	CHD5
RPL22	RPL22
LOC102724450	LOC102724450
RNF207	RNF207
ICMT	ICMT
LINC00337	LINC00337
HES3	HES3
GPR153	GPR153
ACOT7	ACOT7
HES2	HES2
ESPN	ESPN
MIR4252	MIR4252
TNFRSF25	TNFRSF25
PLEKHG5	PLEKHG5
NOL9	NOL9
TAS1R1	TAS1R1
ZBTB48	ZBTB48
KLHL21	KLHL21
PHF13	PHF13
THAP3	THAP3
DNAJC11	DNAJC11
LOC100505887	LOC100505887
CAMTA1	CAMTA1
VAMP3	VAMP3
PER3	PER3
UTS2	UTS2
TNFRSF9	TNFRSF9
PARK7	PARK7
ERRFI1	ERRFI1
LOC102724539	LOC102724539
SLC45A1	SLC45A1
RERE	RERE
LOC102724552	LOC102724552
ENO1	ENO1
MIR6728	MIR6728
ENO1.AS1	ENO1.AS1
CA6	CA6
SLC2A7	SLC2A7
SLC2A5	SLC2A5
GPR157	GPR157
MIR34A	MIR34A
H6PD	H6PD
SPSB1	SPSB1
LOC100506022	LOC100506022
SLC25A33	SLC25A33
TMEM201	TMEM201
PIK3CD	PIK3CD
PIK3CD.AS1	PIK3CD.AS1
PIK3CD.AS2	PIK3CD.AS2
CLSTN1	CLSTN1
